candidate,single_score,with_base_set,improvement,best_pair_with,best_pair_score
bar5s_flow_rem_vol_ask_p1_2_sum,0.3484042553191489,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_deriv_cdi12_d2_w36,0.4228723404255319,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_flow_cnt_cancel_bid_p1_2_sum,0.34308510638297873,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_shape_bid_sz_frac_l00_eob,0.4228723404255319,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_shape_ask_sz_l05_eob,0.4228723404255319,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_deriv_dbid10_d1_w3,0.4228723404255319,0.39893617021276595,-0.05319148936170215,bar5s_setup_min_dist_pts,0.39893617021276595
bar5s_shape_bid_ct_frac_l05_eob,0.32180851063829785,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_dask10_d2_w12,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_waskz_d2_w12,0.3351063829787234,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_dbelow01_d1_w36,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_depth_below_p0_1_frac_eob,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_shape_ask_ct_frac_l09_eob,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_dbid10_d1_w12,0.3058510638297872,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_shape_ask_ct_frac_l00_eob,0.2632978723404255,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_waskz_d2_w3,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_shape_bid_sz_frac_l04_eob,0.19946808510638298,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_depth_above_p0_1_frac_twa,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_flow_net_volnorm_bid_p0_1_sum,0.34308510638297873,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
rvol_aggbuy_aggsell_asymmetry,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_wall_ask_maxz_levelidx_eob,0.2898936170212766,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_shape_ask_sz_l03_eob,0.1595744680851064,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_depth_below_p2_3_frac_eob,0.2579787234042553,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
rvol_flow_net_ask_zscore,0.4228723404255319,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_lvl_level_book_index_bid,0.2154255319148936,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_shape_ask_ct_frac_l08_eob,0.31382978723404253,0.3962765957446808,-0.05585106382978727,bar5s_setup_min_dist_pts,0.3962765957446808
bar5s_deriv_dist_d1_w3,0.2154255319148936,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_lvl_size_at_level_imbal_eob,0.2154255319148936,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_approach_is_or_low,0.14893617021276595,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_shape_bid_ct_frac_l06_eob,0.17819148936170212,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_setup_trade_imbal_pct,0.1276595744680851,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_deriv_cdi01_d2_w12,0.4228723404255319,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_deriv_dbelow01_d1_w12,0.4228723404255319,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
rvol_bid_ask_net_asymmetry,0.4228723404255319,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_deriv_obi10_d1_w36,0.2154255319148936,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
bar5s_shape_bid_sz_l00_eob,0.32180851063829785,0.39361702127659576,-0.05851063829787234,bar5s_setup_min_dist_pts,0.39361702127659576
