Found 429 feature columns.
Feature                                            | Status                         | Min        | Max        | Mean       | % Zeros 
bar5s_flow_cnt_add_ask_p2_3_sum                    | OK                             | 0.0000     | 26.0000    | 1.6610     | 59.6    
bar5s_flow_cnt_cancel_bid_p0_1_sum                 | OK                             | 0.0000     | 226.0000   | 50.8970    | 0.6     
bar5s_flow_cnt_cancel_bid_p1_2_sum                 | OK                             | 0.0000     | 80.0000    | 3.2440     | 17.4    
bar5s_flow_cnt_cancel_bid_p2_3_sum                 | OK                             | 0.0000     | 31.0000    | 1.1592     | 68.1    
bar5s_flow_cnt_cancel_ask_p0_1_sum                 | OK                             | 0.0000     | 218.0000   | 52.3471    | 0.7     
bar5s_flow_cnt_cancel_ask_p1_2_sum                 | OK                             | 0.0000     | 36.0000    | 3.2341     | 15.1    
bar5s_flow_cnt_cancel_ask_p2_3_sum                 | OK                             | 0.0000     | 41.0000    | 1.8648     | 58.5    
bar5s_flow_cnt_modify_bid_p0_1_sum                 | OK                             | 0.0000     | 76.0000    | 6.1010     | 5.3     
bar5s_flow_cnt_modify_bid_p1_2_sum                 | OK                             | 0.0000     | 34.0000    | 1.3745     | 40.5    
bar5s_flow_cnt_modify_bid_p2_3_sum                 | OK                             | 0.0000     | 7.0000     | 0.2184     | 86.2    
bar5s_flow_cnt_modify_ask_p0_1_sum                 | OK                             | 0.0000     | 61.0000    | 6.4646     | 4.4     
bar5s_flow_cnt_modify_ask_p1_2_sum                 | OK                             | 0.0000     | 18.0000    | 1.6738     | 38.5    
bar5s_flow_cnt_modify_ask_p2_3_sum                 | OK                             | 0.0000     | 16.0000    | 0.2685     | 84.8    
bar5s_flow_net_volnorm_bid_p0_1_sum                | OK                             | -6.0000    | 14.0000    | 0.5423     | 4.6     
bar5s_flow_net_volnorm_bid_p1_2_sum                | OK                             | -3.0000    | 9.0000     | 0.0785     | 25.9    
bar5s_flow_net_volnorm_bid_p2_3_sum                | OK                             | -3.1869    | 8.4877     | 0.0448     | 65.9    
bar5s_flow_net_volnorm_ask_p0_1_sum                | OK                             | -2.3323    | 20.0000    | 0.5474     | 4.8     
bar5s_flow_net_volnorm_ask_p1_2_sum                | OK                             | -20.8031   | 36.0000    | 0.1152     | 24.3    
bar5s_flow_net_volnorm_ask_p2_3_sum                | OK                             | -3.8328    | 26.0000    | 0.0324     | 64.9    
bar5s_trade_cnt_sum                                | OK                             | 0.0000     | 13.0000    | 0.5608     | 70.2    
bar5s_trade_vol_sum                                | OK                             | 0.0000     | 27.0000    | 0.7688     | 70.2    
bar5s_trade_aggbuy_vol_sum                         | OK                             | 0.0000     | 22.0000    | 0.3460     | 82.7    
bar5s_trade_aggsell_vol_sum                        | OK                             | 0.0000     | 15.0000    | 0.4227     | 81.5    
bar5s_trade_signed_vol_sum                         | OK                             | -14.0000   | 17.0000    | -0.0767    | 71.8    
bar5s_wall_bid_maxz_eob                            | OK                             | 0.0000     | 3.0000     | 1.6228     | 0.1     
